date,day_of_week,is_weekend,exam_week,special_event,temperature_c,menu_type,expected_attendance,meals_consumed,meals_prepared,leftover_meals,plate_waste_kg
2025-02-03,Monday,0,0,1,32.1,South Indian,472,461,486,25,10.4
2025-02-04,Tuesday,0,0,1,37.5,Punjabi,463,453,467,14,13.1
2025-02-05,Wednesday,0,0,1,18.3,Mixed,472,453,473,20,11.7
2025-02-06,Thursday,0,0,0,26.5,Punjabi,415,418,423,5,10.1
2025-02-07,Friday,0,0,0,25.1,Punjabi,424,431,442,11,12.1
2025-02-08,Saturday,1,0,0,21.7,South Indian,364,345,385,40,10.4
2025-02-09,Sunday,1,0,0,29.2,Mixed,391,351,369,18,10.3
2025-02-10,Monday,0,0,0,26.0,Punjabi,431,443,474,31,8.7
2025-02-11,Tuesday,0,0,0,24.4,Punjabi,402,389,404,15,9.8
2025-02-12,Wednesday,0,0,0,28.6,Punjabi,409,379,406,27,9.6
2025-02-13,Thursday,0,0,0,16.7,Light,444,396,434,38,10.5
2025-02-14,Friday,0,0,0,31.1,South Indian,411,395,422,27,8.6
2025-02-15,Saturday,1,0,0,28.9,Light,362,299,337,38,6.4
2025-02-16,Sunday,1,0,0,31.2,South Indian,368,352,384,32,9.6
2025-02-17,Monday,0,0,0,17.0,Punjabi,416,399,435,36,7.6
2025-02-18,Tuesday,0,0,0,23.0,South Indian,395,383,395,12,6.1
2025-02-19,Wednesday,0,0,0,29.3,North Indian,412,404,431,27,10.9
2025-02-20,Thursday,0,0,0,28.0,North Indian,417,401,423,22,9.8
2025-02-21,Friday,0,0,1,20.5,North Indian,435,393,424,31,9.4
2025-02-22,Saturday,1,0,0,33.6,North Indian,381,353,378,25,7.6
2025-02-23,Sunday,1,0,0,22.6,South Indian,342,332,344,12,8.9
2025-02-24,Monday,0,0,0,26.3,Mixed,427,411,431,20,8.7
2025-02-25,Tuesday,0,0,0,26.1,Punjabi,426,429,450,21,8.5
2025-02-26,Wednesday,0,0,0,32.6,North Indian,415,400,442,42,13.1
2025-02-27,Thursday,0,0,0,32.4,South Indian,422,403,430,27,8.8
2025-02-28,Friday,0,0,0,21.4,North Indian,388,389,423,34,8.3
2025-03-01,Saturday,1,0,0,25.6,Mixed,358,326,360,34,6.4
2025-03-02,Sunday,1,0,0,28.1,Mixed,403,371,395,24,9.0
2025-03-03,Monday,0,0,0,22.7,Punjabi,426,425,459,34,11.2
2025-03-04,Tuesday,0,0,0,25.5,South Indian,426,381,388,7,7.3
2025-03-05,Wednesday,0,0,0,23.4,North Indian,433,377,423,46,10.1
2025-03-06,Thursday,0,0,0,19.2,South Indian,426,404,436,32,10.6
2025-03-07,Friday,0,0,0,31.5,Light,409,353,390,37,8.5
2025-03-08,Saturday,1,0,0,34.3,Mixed,358,342,363,21,7.1
2025-03-09,Sunday,1,0,0,19.2,South Indian,371,340,345,5,7.3
2025-03-10,Monday,0,0,0,28.2,Punjabi,407,390,416,26,8.2
2025-03-11,Tuesday,0,0,0,28.9,Punjabi,429,438,462,24,10.5
2025-03-12,Wednesday,0,0,0,20.8,Punjabi,404,377,401,24,9.9
2025-03-13,Thursday,0,0,0,31.5,North Indian,408,383,412,29,9.9
2025-03-14,Friday,0,0,0,28.3,Mixed,418,386,423,37,11.5
2025-03-15,Saturday,1,0,0,15.0,Light,370,303,334,31,10.6
2025-03-16,Sunday,1,0,0,28.2,Light,352,293,334,41,4.8
2025-03-17,Monday,0,0,1,24.4,Light,458,412,441,29,9.4
2025-03-18,Tuesday,0,0,0,23.8,Light,410,385,394,9,10.4
2025-03-19,Wednesday,0,0,0,19.9,Mixed,423,382,413,31,9.9
2025-03-20,Thursday,0,0,0,24.8,North Indian,441,419,448,29,9.7
2025-03-21,Friday,0,0,0,21.8,Light,440,444,465,21,8.2
2025-03-22,Saturday,1,0,0,26.1,North Indian,360,338,349,11,9.5
2025-03-23,Sunday,1,0,0,25.3,North Indian,367,322,348,26,7.5
2025-03-24,Monday,0,0,0,35.3,North Indian,417,409,426,17,10.5
2025-03-25,Tuesday,0,0,0,18.5,Mixed,415,383,407,24,7.0
2025-03-26,Wednesday,0,0,0,24.4,Mixed,427,418,436,18,8.5
2025-03-27,Thursday,0,0,0,38.9,Punjabi,425,413,445,32,11.3
2025-03-28,Friday,0,0,0,24.8,North Indian,412,418,438,20,9.8
2025-03-29,Saturday,1,0,0,31.8,Light,361,294,299,5,5.9
2025-03-30,Sunday,1,0,0,32.6,North Indian,361,319,353,34,6.5
2025-03-31,Monday,0,0,0,25.9,South Indian,428,413,428,15,10.3
2025-04-01,Tuesday,0,1,0,19.2,Punjabi,376,336,360,24,10.1
2025-04-02,Wednesday,0,1,0,22.4,North Indian,372,353,367,14,7.1
2025-04-03,Thursday,0,1,0,29.7,North Indian,395,367,398,31,10.4
2025-04-04,Friday,0,1,0,32.0,Punjabi,361,309,334,25,9.1
2025-04-05,Saturday,1,1,0,25.1,Light,347,280,295,15,10.1
2025-04-06,Sunday,1,1,0,22.4,South Indian,357,317,353,36,8.9
2025-04-07,Monday,0,1,0,28.7,South Indian,404,362,375,13,11.6
2025-04-08,Tuesday,0,1,0,28.3,Punjabi,415,387,402,15,10.3
2025-04-09,Wednesday,0,1,0,26.7,North Indian,375,371,396,25,9.6
2025-04-10,Thursday,0,1,0,21.6,South Indian,391,336,365,29,9.0
2025-04-11,Friday,0,0,0,32.0,North Indian,418,412,429,17,8.7
2025-04-12,Saturday,1,0,0,33.4,Punjabi,370,327,349,22,8.5
2025-04-13,Sunday,1,0,1,28.3,South Indian,401,365,386,21,9.5
2025-04-14,Monday,0,0,0,24.6,North Indian,402,353,361,8,8.9
2025-04-15,Tuesday,0,0,0,33.1,Mixed,418,418,432,14,9.9
2025-04-16,Wednesday,0,0,0,25.4,North Indian,406,404,446,42,10.2
2025-04-17,Thursday,0,0,0,27.7,South Indian,418,438,456,18,12.4
2025-04-18,Friday,0,0,0,31.5,South Indian,412,394,422,28,10.5
2025-04-19,Saturday,1,0,0,22.1,North Indian,374,341,359,18,9.8
2025-04-20,Sunday,1,0,0,24.1,South Indian,358,315,346,31,8.0
2025-04-21,Monday,0,0,0,26.9,South Indian,390,369,396,27,10.6
2025-04-22,Tuesday,0,0,0,21.5,North Indian,402,394,399,5,7.3
2025-04-23,Wednesday,0,0,0,25.0,South Indian,411,397,415,18,8.6
2025-04-24,Thursday,0,0,0,28.9,Mixed,396,392,411,19,12.9
2025-04-25,Friday,0,0,0,27.3,Mixed,400,378,408,30,8.5
2025-04-26,Saturday,1,0,0,34.2,Punjabi,382,346,368,22,7.3
2025-04-27,Sunday,1,0,0,26.2,Punjabi,356,331,353,22,8.4
2025-04-28,Monday,0,0,0,32.8,Light,426,397,411,14,9.8
2025-04-29,Tuesday,0,0,1,28.1,South Indian,477,479,506,27,11.4
2025-04-30,Wednesday,0,0,0,28.9,Mixed,376,347,376,29,6.9
2025-05-01,Thursday,0,1,1,24.6,Punjabi,460,439,478,39,11.2
2025-05-02,Friday,0,1,0,26.8,Light,393,331,364,33,8.3
2025-05-03,Saturday,1,1,0,28.1,Light,338,256,290,34,5.8
2025-05-04,Sunday,1,1,0,29.3,South Indian,346,307,335,28,8.6
2025-05-05,Monday,0,1,0,25.5,Mixed,399,388,429,41,11.7
2025-05-06,Tuesday,0,1,0,30.8,Punjabi,400,381,405,24,8.4
2025-05-07,Wednesday,0,1,0,27.0,North Indian,404,374,405,31,9.9
2025-05-08,Thursday,0,1,0,24.5,Light,416,341,366,25,8.1
2025-05-09,Friday,0,1,0,28.7,Light,404,361,367,6,8.5
2025-05-10,Saturday,1,1,0,27.0,South Indian,340,305,325,20,8.4
2025-05-11,Sunday,1,0,0,31.9,Punjabi,364,350,366,16,10.2
2025-05-12,Monday,0,0,0,23.2,North Indian,421,403,419,16,10.7
2025-05-13,Tuesday,0,0,0,27.5,Punjabi,416,403,429,26,10.7
2025-05-14,Wednesday,0,0,0,26.2,North Indian,426,414,433,19,10.3
2025-05-15,Thursday,0,0,0,34.2,North Indian,426,395,417,22,7.5
2025-05-16,Friday,0,0,0,33.6,Punjabi,423,417,444,27,10.2
2025-05-17,Saturday,1,0,0,27.6,Mixed,365,302,332,30,7.1
2025-05-18,Sunday,1,0,0,31.0,Mixed,365,337,376,39,9.2
2025-05-19,Monday,0,0,0,32.7,South Indian,438,427,442,15,11.7
2025-05-20,Tuesday,0,0,0,33.5,South Indian,408,399,413,14,9.6
2025-05-21,Wednesday,0,0,0,32.7,North Indian,421,397,426,29,9.9
2025-05-22,Thursday,0,0,0,26.1,Mixed,416,414,436,22,7.2
2025-05-23,Friday,0,0,0,23.6,North Indian,416,410,435,25,10.3
2025-05-24,Saturday,1,0,0,35.6,South Indian,365,305,330,25,8.7
2025-05-25,Sunday,1,0,0,32.1,Mixed,359,336,363,27,7.6
2025-05-26,Monday,0,0,0,27.0,Light,421,343,357,14,8.0
2025-05-27,Tuesday,0,0,0,22.1,Punjabi,397,427,448,21,10.1
2025-05-28,Wednesday,0,0,0,26.4,South Indian,391,354,372,18,9.1
2025-05-29,Thursday,0,0,0,20.4,Punjabi,426,410,434,24,8.2
2025-05-30,Friday,0,0,0,30.1,Light,425,413,435,22,11.5
2025-05-31,Saturday,1,0,0,20.9,Mixed,394,360,373,13,8.3
2025-06-01,Sunday,1,0,0,23.7,South Indian,363,311,356,45,8.2
2025-06-02,Monday,0,0,0,26.1,Light,412,334,342,8,5.0
2025-06-03,Tuesday,0,0,0,26.8,Mixed,439,430,446,16,11.5
2025-06-04,Wednesday,0,0,0,29.8,Mixed,411,375,389,14,9.5
2025-06-05,Thursday,0,0,0,27.1,South Indian,408,409,445,36,8.7
2025-06-06,Friday,0,0,0,32.2,Punjabi,412,376,399,23,7.1
2025-06-07,Saturday,1,0,0,23.0,Mixed,387,337,368,31,8.4
2025-06-08,Sunday,1,0,0,32.0,South Indian,357,324,348,24,7.9
2025-06-09,Monday,0,0,0,30.3,Mixed,429,440,461,21,11.6
2025-06-10,Tuesday,0,0,0,24.0,Mixed,420,402,437,35,6.8
2025-06-11,Wednesday,0,0,0,27.3,Mixed,431,396,439,43,11.1
2025-06-12,Thursday,0,0,0,25.0,Punjabi,413,411,421,10,9.3
2025-06-13,Friday,0,0,0,27.3,South Indian,405,365,396,31,8.7
2025-06-14,Saturday,1,0,0,33.2,South Indian,350,300,332,32,6.5
2025-06-15,Sunday,1,0,0,36.2,North Indian,373,328,363,35,7.1
2025-06-16,Monday,0,0,0,19.2,North Indian,419,414,424,10,10.2
2025-06-17,Tuesday,0,0,0,21.6,Light,391,362,403,41,9.8
2025-06-18,Wednesday,0,0,0,25.9,South Indian,460,445,465,20,9.6
2025-06-19,Thursday,0,0,0,23.3,South Indian,424,398,428,30,8.0
2025-06-20,Friday,0,0,0,36.6,North Indian,430,403,424,21,9.7
2025-06-21,Saturday,1,0,0,18.3,South Indian,378,340,354,14,10.5
2025-06-22,Sunday,1,0,0,19.4,Light,379,313,337,24,8.4
2025-06-23,Monday,0,0,0,28.5,Light,422,368,390,22,9.0
2025-06-24,Tuesday,0,0,0,33.2,North Indian,421,398,416,18,12.2
2025-06-25,Wednesday,0,0,1,17.6,Light,471,445,475,30,9.0
2025-06-26,Thursday,0,0,0,26.0,North Indian,415,399,426,27,11.0
2025-06-27,Friday,0,0,0,24.9,Punjabi,427,409,446,37,8.9
2025-06-28,Saturday,1,0,0,31.9,South Indian,379,337,365,28,10.5
2025-06-29,Sunday,1,0,0,31.1,North Indian,351,333,355,22,6.9
2025-06-30,Monday,0,0,0,28.2,Punjabi,395,349,362,13,10.4
2025-07-01,Tuesday,0,0,0,20.0,North Indian,425,408,453,45,12.5
2025-07-02,Wednesday,0,0,0,25.4,Mixed,411,387,425,38,9.5
2025-07-03,Thursday,0,0,0,35.9,Mixed,421,404,421,17,10.8
2025-07-04,Friday,0,0,0,20.6,Punjabi,420,374,399,25,11.0
2025-07-05,Saturday,1,0,0,26.0,South Indian,331,301,322,21,10.1
2025-07-06,Sunday,1,0,0,27.6,Mixed,373,337,369,32,6.4
2025-07-07,Monday,0,0,0,23.9,North Indian,422,387,408,21,8.0
2025-07-08,Tuesday,0,0,0,30.6,Punjabi,402,377,413,36,9.9
2025-07-09,Wednesday,0,0,0,16.5,Mixed,427,430,455,25,11.6
2025-07-10,Thursday,0,0,0,18.6,Mixed,390,378,400,22,6.5
2025-07-11,Friday,0,0,0,25.8,Light,378,350,385,35,8.5
2025-07-12,Saturday,1,0,0,29.8,Punjabi,374,342,385,43,7.1
2025-07-13,Sunday,1,0,0,22.3,Light,339,295,322,27,7.2
2025-07-14,Monday,0,0,0,18.1,Punjabi,416,412,422,10,9.2
2025-07-15,Tuesday,0,0,0,20.1,Mixed,414,395,427,32,9.7
2025-07-16,Wednesday,0,0,0,22.9,Mixed,422,386,400,14,9.9
2025-07-17,Thursday,0,0,0,27.1,Mixed,396,381,392,11,7.6
2025-07-18,Friday,0,0,1,15.9,North Indian,480,481,510,29,11.0
2025-07-19,Saturday,1,0,0,15.3,North Indian,340,297,309,12,5.3
2025-07-20,Sunday,1,0,0,28.9,South Indian,354,324,363,39,6.5
2025-07-21,Monday,0,0,0,33.3,North Indian,436,428,457,29,11.0
2025-07-22,Tuesday,0,0,0,28.4,South Indian,414,393,411,18,10.6
2025-07-23,Wednesday,0,0,0,28.6,North Indian,393,383,414,31,11.3
2025-07-24,Thursday,0,0,0,15.3,North Indian,436,432,446,14,9.6
2025-07-25,Friday,0,0,0,28.4,Light,419,373,398,25,9.0
2025-07-26,Saturday,1,0,0,14.9,North Indian,372,325,348,23,9.9
2025-07-27,Sunday,1,0,0,24.5,North Indian,354,323,345,22,5.7
2025-07-28,Monday,0,0,0,30.8,Light,393,369,393,24,11.9
2025-07-29,Tuesday,0,0,0,28.1,Light,409,368,392,24,6.8
2025-07-30,Wednesday,0,0,0,25.9,South Indian,426,418,436,18,10.0
2025-07-31,Thursday,0,0,0,24.3,Punjabi,404,391,411,20,10.1
2025-08-01,Friday,0,0,0,24.3,Mixed,433,397,417,20,8.1
2025-08-02,Saturday,1,0,0,38.9,North Indian,358,317,337,20,8.1
2025-08-03,Sunday,1,0,0,36.5,Punjabi,368,352,375,23,7.9
2025-08-04,Monday,0,0,0,26.4,Light,429,386,406,20,10.6
2025-08-05,Tuesday,0,0,0,20.0,North Indian,435,449,474,25,9.8
2025-08-06,Wednesday,0,0,0,27.2,Light,421,381,393,12,8.8
2025-08-07,Thursday,0,0,0,26.1,Mixed,399,378,416,38,10.2
2025-08-08,Friday,0,0,0,23.1,North Indian,430,410,443,33,9.1
2025-08-09,Saturday,1,0,0,24.2,South Indian,355,342,387,45,7.0
2025-08-10,Sunday,1,0,0,23.1,Mixed,347,295,318,23,5.5
2025-08-11,Monday,0,0,0,40.0,North Indian,406,381,406,25,7.6
2025-08-12,Tuesday,0,0,0,28.5,Punjabi,436,412,450,38,11.5
2025-08-13,Wednesday,0,0,0,22.1,Punjabi,383,394,404,10,10.3
2025-08-14,Thursday,0,0,0,27.0,Punjabi,395,361,383,22,8.5
2025-08-15,Friday,0,0,0,24.8,Punjabi,411,399,420,21,10.1
2025-08-16,Saturday,1,0,0,27.0,Mixed,372,326,333,7,8.6
2025-08-17,Sunday,1,0,0,24.7,Light,367,328,350,22,5.0
2025-08-18,Monday,0,0,0,30.2,Mixed,438,433,472,39,9.5
2025-08-19,Tuesday,0,0,0,27.3,South Indian,431,419,444,25,10.8
2025-08-20,Wednesday,0,0,0,22.5,South Indian,442,428,439,11,8.7
2025-08-21,Thursday,0,0,0,21.4,North Indian,420,403,430,27,9.6
2025-08-22,Friday,0,0,0,23.5,North Indian,427,424,436,12,11.6
2025-08-23,Saturday,1,0,0,32.1,Light,386,330,361,31,7.7
2025-08-24,Sunday,1,0,0,24.2,Mixed,378,320,328,8,9.1
2025-08-25,Monday,0,0,0,18.9,North Indian,441,433,458,25,7.8
2025-08-26,Tuesday,0,0,0,28.0,Mixed,404,401,418,17,8.3
2025-08-27,Wednesday,0,0,0,24.1,Punjabi,416,403,418,15,9.2
2025-08-28,Thursday,0,0,0,26.3,Light,429,379,405,26,8.8
2025-08-29,Friday,0,0,0,29.5,North Indian,408,373,378,5,8.4
2025-08-30,Saturday,1,0,0,19.7,North Indian,360,318,353,35,7.9
2025-08-31,Sunday,1,0,0,21.9,South Indian,356,310,331,21,6.5
2025-09-01,Monday,0,0,0,35.0,South Indian,399,360,377,17,7.1
2025-09-02,Tuesday,0,0,0,16.1,North Indian,401,359,375,16,7.7
2025-09-03,Wednesday,0,0,0,28.2,South Indian,420,394,409,15,11.2
2025-09-04,Thursday,0,0,0,24.1,Light,415,368,390,22,8.1
2025-09-05,Friday,0,0,1,26.6,Punjabi,468,468,490,22,11.9
2025-09-06,Saturday,1,0,0,30.8,North Indian,344,331,360,29,8.5
2025-09-07,Sunday,1,0,0,25.7,Punjabi,365,336,354,18,7.2
2025-09-08,Monday,0,0,0,29.7,North Indian,425,418,446,28,10.9
2025-09-09,Tuesday,0,0,0,38.1,North Indian,412,392,419,27,7.7
2025-09-10,Wednesday,0,0,0,21.4,Mixed,418,392,432,40,10.8
2025-09-11,Thursday,0,0,0,26.9,North Indian,422,415,440,25,9.2
2025-09-12,Friday,0,0,0,20.3,Punjabi,418,384,410,26,8.9
2025-09-13,Saturday,1,0,0,30.3,North Indian,357,334,354,20,9.8
2025-09-14,Sunday,1,0,0,31.6,South Indian,369,342,354,12,7.1
2025-09-15,Monday,0,0,0,27.5,South Indian,427,401,436,35,14.3
2025-09-16,Tuesday,0,0,0,29.9,Light,420,357,372,15,6.8
2025-09-17,Wednesday,0,0,0,28.9,Punjabi,424,418,442,24,11.2
2025-09-18,Thursday,0,0,0,20.0,North Indian,414,395,408,13,9.8
2025-09-19,Friday,0,0,0,22.4,North Indian,387,363,389,26,10.6
2025-09-20,Saturday,1,0,0,24.7,South Indian,363,333,363,30,8.5
2025-09-21,Sunday,1,0,0,30.9,South Indian,366,304,342,38,8.0
2025-09-22,Monday,0,0,0,30.9,Mixed,409,399,414,15,8.8
2025-09-23,Tuesday,0,0,0,29.5,Punjabi,425,418,440,22,10.5
2025-09-24,Wednesday,0,0,0,30.9,South Indian,423,393,418,25,9.8
2025-09-25,Thursday,0,0,0,24.4,South Indian,453,442,488,46,10.5
2025-09-26,Friday,0,0,0,25.2,Punjabi,408,407,443,36,10.0
2025-09-27,Saturday,1,0,0,29.0,Mixed,405,349,382,33,8.2
2025-09-28,Sunday,1,0,0,30.7,North Indian,364,324,354,30,8.6
2025-09-29,Monday,0,0,0,23.3,North Indian,430,415,445,30,11.3
2025-09-30,Tuesday,0,0,0,18.5,Light,462,406,421,15,9.7
2025-10-01,Wednesday,0,0,0,27.3,Mixed,425,416,437,21,13.6
2025-10-02,Thursday,0,0,0,22.0,Mixed,392,373,393,20,12.3
2025-10-03,Friday,0,0,0,22.3,South Indian,430,410,418,8,10.0
2025-10-04,Saturday,1,0,0,22.9,Punjabi,361,332,362,30,9.9
2025-10-05,Sunday,1,0,0,29.2,North Indian,358,330,363,33,10.2
2025-10-06,Monday,0,0,0,27.1,Mixed,407,381,392,11,9.7
2025-10-07,Tuesday,0,0,0,23.0,Light,421,387,417,30,13.0
2025-10-08,Wednesday,0,0,0,21.6,South Indian,427,413,428,15,10.3
2025-10-09,Thursday,0,0,0,25.5,Light,406,347,380,33,9.4
2025-10-10,Friday,0,0,1,23.3,North Indian,441,433,457,24,11.8
2025-10-11,Saturday,1,0,0,21.1,Punjabi,380,363,392,29,5.5
2025-10-12,Sunday,1,0,0,26.0,South Indian,367,343,366,23,5.8
2025-10-13,Monday,0,0,0,21.5,South Indian,426,415,420,5,8.5
2025-10-14,Tuesday,0,0,0,17.1,Punjabi,411,409,436,27,10.9
2025-10-15,Wednesday,0,0,0,38.4,Punjabi,430,403,438,35,11.9
2025-10-16,Thursday,0,0,0,31.6,Light,437,385,407,22,8.9
2025-10-17,Friday,0,0,0,24.8,South Indian,378,374,399,25,11.3
2025-10-18,Saturday,1,0,0,28.4,Punjabi,377,353,381,28,8.4
2025-10-19,Sunday,1,0,0,25.6,Punjabi,398,390,415,25,6.2
2025-10-20,Monday,0,0,0,34.3,North Indian,386,371,382,11,9.7
2025-10-21,Tuesday,0,0,1,27.4,Light,457,446,478,32,13.4
2025-10-22,Wednesday,0,0,0,26.1,Punjabi,389,366,384,18,11.4
2025-10-23,Thursday,0,0,0,30.1,Mixed,429,399,404,5,10.2
2025-10-24,Friday,0,0,0,34.9,Mixed,438,403,432,29,13.9
2025-10-25,Saturday,1,0,0,25.1,North Indian,381,343,365,22,8.4
2025-10-26,Sunday,1,0,0,14.8,North Indian,359,321,345,24,7.6
2025-10-27,Monday,0,0,0,24.4,Mixed,397,356,387,31,10.6
2025-10-28,Tuesday,0,0,0,30.5,North Indian,390,368,382,14,8.5
2025-10-29,Wednesday,0,0,0,29.9,Mixed,410,404,422,18,8.8
2025-10-30,Thursday,0,0,0,25.2,Light,424,371,410,39,6.7
2025-10-31,Friday,0,0,0,33.8,Punjabi,436,421,426,5,7.7
2025-11-01,Saturday,1,1,0,24.8,North Indian,363,347,366,19,8.6
2025-11-02,Sunday,1,1,0,32.1,Mixed,317,273,289,16,5.4
2025-11-03,Monday,0,1,0,26.4,Light,409,352,383,31,10.0
2025-11-04,Tuesday,0,1,0,24.7,Light,389,340,361,21,9.3
2025-11-05,Wednesday,0,1,0,27.4,Punjabi,388,336,343,7,6.5
2025-11-06,Thursday,0,1,0,21.1,Punjabi,392,352,388,36,9.8
2025-11-07,Friday,0,1,0,24.8,Light,388,333,358,25,5.3
2025-11-08,Saturday,1,1,0,25.6,Light,351,280,304,24,6.8
2025-11-09,Sunday,1,1,0,31.2,South Indian,341,301,319,18,8.7
2025-11-10,Monday,0,1,0,38.1,Punjabi,411,353,389,36,9.7
2025-11-11,Tuesday,0,0,0,29.4,Punjabi,435,446,474,28,12.5
2025-11-12,Wednesday,0,0,0,35.5,Mixed,410,400,419,19,10.0
2025-11-13,Thursday,0,0,0,18.4,Mixed,428,425,433,8,13.5
2025-11-14,Friday,0,0,0,25.1,South Indian,418,402,431,29,10.4
2025-11-15,Saturday,1,0,0,32.2,Light,362,301,331,30,8.2
2025-11-16,Sunday,1,0,0,30.9,Mixed,360,318,361,43,5.3
2025-11-17,Monday,0,0,0,26.5,Mixed,394,359,380,21,5.8
2025-11-18,Tuesday,0,0,0,34.5,Light,441,416,456,40,12.1
2025-11-19,Wednesday,0,0,0,29.2,South Indian,423,429,459,30,12.9
2025-11-20,Thursday,0,0,0,28.9,South Indian,418,399,436,37,8.5
2025-11-21,Friday,0,0,0,28.7,Light,418,392,429,37,10.3
2025-11-22,Saturday,1,0,0,37.8,South Indian,352,307,324,17,9.5
2025-11-23,Sunday,1,0,0,32.2,North Indian,336,318,344,26,9.7
2025-11-24,Monday,0,0,0,26.0,North Indian,405,358,390,32,8.0
2025-11-25,Tuesday,0,0,0,23.6,Punjabi,392,381,420,39,8.5
2025-11-26,Wednesday,0,0,0,28.1,Punjabi,443,440,478,38,9.8
2025-11-27,Thursday,0,0,0,22.1,South Indian,421,411,446,35,9.8
2025-11-28,Friday,0,0,0,24.1,Punjabi,429,404,420,16,12.3
2025-11-29,Saturday,1,0,0,24.4,Punjabi,389,370,377,7,11.2
2025-11-30,Sunday,1,0,0,24.1,North Indian,364,321,350,29,6.5
2025-12-01,Monday,0,1,0,19.9,Mixed,389,353,375,22,8.8
2025-12-02,Tuesday,0,1,0,34.2,South Indian,405,371,399,28,11.6
2025-12-03,Wednesday,0,1,0,29.3,North Indian,368,347,365,18,6.4
2025-12-04,Thursday,0,1,0,25.8,North Indian,368,308,323,15,7.6
2025-12-05,Friday,0,1,0,31.8,Mixed,415,384,401,17,10.9
2025-12-06,Saturday,1,1,0,32.9,Punjabi,352,313,318,5,8.3
2025-12-07,Sunday,1,1,0,30.5,Mixed,339,283,308,25,7.2
2025-12-08,Monday,0,1,0,21.6,Punjabi,410,376,402,26,8.5
2025-12-09,Tuesday,0,1,0,26.2,Mixed,381,325,338,13,10.7
2025-12-10,Wednesday,0,1,0,25.0,Mixed,394,382,419,37,8.3
2025-12-11,Thursday,0,0,0,18.1,South Indian,407,408,428,20,9.9
2025-12-12,Friday,0,0,0,29.0,North Indian,404,372,406,34,7.5
2025-12-13,Saturday,1,0,0,30.8,North Indian,369,313,333,20,9.2
2025-12-14,Sunday,1,0,0,17.9,North Indian,354,338,371,33,9.3
2025-12-15,Monday,0,0,0,24.9,South Indian,417,397,426,29,8.4
2025-12-16,Tuesday,0,0,0,29.5,North Indian,410,398,423,25,9.9
2025-12-17,Wednesday,0,0,0,34.4,Mixed,413,380,414,34,10.5
2025-12-18,Thursday,0,0,0,29.9,North Indian,416,406,438,32,8.7
2025-12-19,Friday,0,0,0,35.6,Punjabi,421,396,415,19,9.4
2025-12-20,Saturday,1,0,0,27.0,North Indian,356,319,350,31,9.2
2025-12-21,Sunday,1,0,0,30.4,North Indian,369,335,376,41,11.3
2025-12-22,Monday,0,0,0,22.4,Light,457,418,447,29,10.3
